SiteID,TYPE,N.ARGR,N.PRDC,N.NRDC,N.LNDC,N.MNWH,N.FNDC,N.LNSC,N.BRST,N.LKCH,N.BLTR,N.WHSC,N.SLSC,N.NFDC,N.RDSH,N.BURB,N.TRPR
101culvertD,cul,0,4,11,4,0,0,0,0,13,0,3,10,0,11,0,0
101culvertU,cul,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0
102culvertD,cul,0,0,11,4,2,0,2,0,15,0,3,4,0,9,0,0
102culvertU,cul,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0
103culvertD,cul,0,0,14,0,0,10,4,0,13,0,0,10,0,0,0,0
103culvertU,cul,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
104culvertD,cul,0,6,20,8,0,14,0,19,0,0,1,9,2,0,0,0
104culvertU,cul,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
105bridgeD,bri,0,0,0,11,0,0,7,0,18,0,0,13,0,13,2,7
105bridgeU,bri,0,0,0,9,1,0,3,0,18,0,0,12,0,12,1,3
106culvertD,cul,0,0,0,0,0,4,0,0,3,0,0,4,0,0,0,0
106culvertU,cul,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
107bridgeD,bri,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0
107bridgeU,bri,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0
108culvertD,cul,0,7,17,8,0,12,7,16,33,0,8,22,0,16,0,0
108culvertU,cul,0,0,0,0,0,10,4,0,12,0,2,0,0,8,0,0
109culvertD,cul,0,0,0,9,0,0,4,10,10,0,0,7,0,7,0,0
109culvertU,cul,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
110culvertD,cul,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
110culvertU,cul,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
111culvertD,cul,0,0,25,0,0,18,0,16,0,0,2,0,0,0,0,0
111culvertU,cul,0,0,17,0,0,14,0,14,0,0,0,0,0,0,0,0
112culvertD,cul,0,0,5,0,0,18,0,10,0,0,0,0,0,0,0,0
112culvertU,cul,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
118culvertD,cul,0,0,0,0,0,13,0,0,9,0,5,0,0,0,0,0
118culvertU,cul,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
126bridgeD,bri,0,0,0,0,1,0,0,0,0,0,0,53,0,0,0,0
126bridgeU,bri,0,0,0,0,2,0,0,0,0,0,0,37,0,0,0,0
127bridgeD,bri,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
127bridgeU,bri,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
128bridgeD,bri,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0
128bridgeU,bri,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0
129bridgeD,bri,0,0,0,0,0,14,0,26,0,0,0,0,0,0,0,0
129bridgeU,bri,0,0,0,0,0,16,0,21,0,0,0,0,0,0,0,0
130bridgeD,bri,0,0,12,0,0,17,0,0,0,0,0,20,0,0,0,0
130bridgeU,bri,0,0,10,0,0,8,0,11,0,0,0,4,0,0,0,0
131bridgeD,bri,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0
131bridgeU,bri,0,0,0,0,0,0,0,0,14,0,0,24,0,0,0,0
132bridgeD,bri,0,0,0,0,0,0,0,0,7,0,0,39,0,0,0,0
132bridgeU,bri,1,0,0,0,0,0,0,0,3,0,0,32,0,0,0,0
133bridgeD,bri,0,0,0,0,1,0,0,0,0,0,0,49,0,0,2,0
133bridgeU,bri,1,0,0,0,0,0,0,0,0,0,0,41,0,0,2,0
134bridgeD,bri,0,0,12,0,0,18,0,0,21,0,0,12,0,0,0,0
134bridgeU,bri,0,0,8,0,0,16,0,0,21,0,0,14,0,0,0,0
136refD,ref,0,0,0,0,0,14,0,0,7,0,0,30,0,0,0,0
136refU,ref,0,0,0,0,0,10,0,0,10,0,0,23,0,0,0,0
137refD,ref,0,0,6,4,0,8,5,0,11,0,2,9,0,11,0,3
137refU,ref,0,0,5,4,0,8,5,0,9,0,1,8,0,7,0,5
138refD,ref,0,8,22,13,0,9,0,0,33,0,8,20,0,7,0,4
138refU,ref,0,0,35,10,0,10,0,0,26,0,10,17,0,13,0,7
139refD,ref,0,0,0,0,0,0,5,0,18,0,0,14,0,0,0,0
139refU,ref,0,0,0,0,0,0,9,0,16,0,0,17,0,0,0,0
140refD,ref,4,0,0,0,4,0,0,0,0,1,0,115,0,0,2,0
140refU,ref,3,0,0,0,6,0,0,0,0,0,0,119,0,0,2,0
141refD,ref,0,0,0,0,0,5,4,0,17,0,0,9,0,0,0,0
141refU,ref,0,0,0,0,1,7,5,0,11,0,0,11,0,0,0,0
142refD,ref,0,0,12,0,0,12,0,21,13,0,5,0,0,0,0,0
142refU,ref,0,0,19,0,0,11,0,14,15,0,6,0,0,0,0,0
143refD,ref,0,0,19,0,0,0,0,0,0,0,0,17,0,0,0,0
143refU,ref,0,0,9,0,0,0,0,0,0,0,0,19,0,0,0,0
144refD,ref,1,0,7,0,1,16,0,8,31,0,3,16,0,10,0,0
144refU,ref,1,0,11,0,1,13,0,10,20,0,5,10,0,6,0,0
145refD,ref,0,0,0,0,0,0,0,0,45,0,12,10,0,0,0,0
145refU,ref,0,0,0,0,0,0,0,0,50,0,15,13,0,0,0,0
146refD,ref,0,0,11,0,0,0,0,12,8,0,0,0,0,0,0,0
146refU,ref,0,0,20,0,0,0,0,14,5,0,0,0,0,0,0,0
